Protein_Accession	Sequence_MD5_digest	Sequence_Length	Analysis	Signature_Accession	Signature_Description	Start_Location	Stop_location	E-value_Score	Status	Date	InterPro_annotations_accession	InterPro_annotations_description
S3029	c1f9b7d5df2a8e095ca221a2b7c65660	147	MobiDBLite	mobidb-lite	consensus disorder prediction	121	147	-	T	18-04-2018
S3029	c1f9b7d5df2a8e095ca221a2b7c65660	147	Pfam	PF04820	Tryptophan halogenase	4	136	2.5E-39	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3029	c1f9b7d5df2a8e095ca221a2b7c65660	147	Gene3D	G3DSA:3.50.50.60		1	139	1.3E-33	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0695	c2e76d663e682cae5a03150fb81dba4c	154	Pfam	PF04820	Tryptophan halogenase	2	154	8.6E-27	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0695	c2e76d663e682cae5a03150fb81dba4c	154	Gene3D	G3DSA:3.50.50.60		1	154	1.4E-37	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0695	c2e76d663e682cae5a03150fb81dba4c	154	SUPERFAMILY	SSF51905		38	56	1.98E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0695	c2e76d663e682cae5a03150fb81dba4c	154	SUPERFAMILY	SSF51905		86	154	1.98E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2702	07000c3e28bb29bd9cac20984e1f5f50	148	MobiDBLite	mobidb-lite	consensus disorder prediction	1	82	-	T	18-04-2018
S2702	07000c3e28bb29bd9cac20984e1f5f50	148	Gene3D	G3DSA:3.50.50.60		37	148	4.8E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2702	07000c3e28bb29bd9cac20984e1f5f50	148	Pfam	PF04820	Tryptophan halogenase	88	145	9.5E-7	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1987	a8ad2dc48964e07afe2d7a919fdc4578	41	MobiDBLite	mobidb-lite	consensus disorder prediction	1	41	-	T	18-04-2018
S2264	f6e7168eb2c50ab3800e20ca4ce22435	108	Pfam	PF00593	TonB dependent receptor	38	108	2.1E-6	T	18-04-2018	IPR000531	TonB-dependent receptor-like, beta-barrel
S2264	f6e7168eb2c50ab3800e20ca4ce22435	108	SUPERFAMILY	SSF56935		98	108	5.04E-6	T	18-04-2018
S2264	f6e7168eb2c50ab3800e20ca4ce22435	108	SUPERFAMILY	SSF56935		28	69	5.04E-6	T	18-04-2018
S2264	f6e7168eb2c50ab3800e20ca4ce22435	108	Gene3D	G3DSA:2.40.170.20		4	108	4.6E-5	T	18-04-2018	IPR036942	TonB-dependent receptor-like, beta-barrel domain superfamily
S2861	f8cf9881e986bfbce8f3934ba4ca2fea	43	Gene3D	G3DSA:2.40.10.480		1	43	4.0E-5	T	18-04-2018
S2861	f8cf9881e986bfbce8f3934ba4ca2fea	43	SUPERFAMILY	SSF50998		2	37	6.28E-6	T	18-04-2018	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
S1926	356447d4805cec6f54761e5aabb11c4c	37	SUPERFAMILY	SSF56112		1	37	1.52E-9	T	18-04-2018	IPR011009	Protein kinase-like domain superfamily
S1926	356447d4805cec6f54761e5aabb11c4c	37	Gene3D	G3DSA:1.10.510.10		1	37	9.1E-17	T	18-04-2018
